25530839|t|The miR-206/133b cluster is dispensable for development, survival and regeneration of skeletal muscle 
25530839|a|Background Three different gene clusters code for the muscle-specific miRNAs miR-206, miR-1 and miR-133a/b. The two miR-1/133a clusters generate identical mature miR-1 and miR-133a miRNAs in heart and skeletal muscle, while the cognate miR-206/133b cluster is exclusively expressed in skeletal muscle. Since sequences of the miRNAs miR-133a and miR-133b are almost identical, it seems likely that they share potential targets. Similarly, miR-1 and miR-206 are structurally related and contain identical seed sequences important for miRNA-target recognition. In the past, different functions of these miRNAs were suggested for development, function and regeneration of skeletal muscle using different in vivo and in vitro models; however, mutants lacking the complete miR-206/133b cluster, which generates a single pri-miRNA constituting a functional unit, have not been analyzed. Methods We generated miR-206/133b knock-out mice and analyzed these mice morphologically; at the transcriptome and proteome level to elucidate the contribution of this miRNA cluster for skeletal muscle development, differentiation, regeneration in vivo; and by systematic analysis. In addition, we studied the consequences of a genetic loss of miR-206/133b for expression of Pax7 and satellite cell differentiation in vitro. Results Deletion of the miR-206/133b cluster did not reveal any obvious essential function of the miRNA-cluster for development and differentiation of skeletal muscle. Careful examination of skeletal muscles of miR-206/133b mutants revealed no structural alterations or molecular changes at the transcriptome and proteome level. In contrast to previous studies, deletion of the miR-206/133b cluster did not impair regeneration of skeletal muscle in mdx mice. Likewise, differentiation of miR-206/133b deficient satellite cells in vitro was unaffected and no change in Pax7 protein concentration was apparent. Conclusions We conclude that the miR-206/133b cluster is dispensable for development, function and regeneration of skeletal muscle, probably due to overlapping functions of the related miR-1/133a clusters, which are strongly expressed in skeletal muscle. We reason that the miR-206/133b cluster alone is not an essential regulator of skeletal muscle regeneration, although more subtle functions might exist that are not apparent under laboratory conditions. 
25530839	4	11	miR-206	Gene	387202
25530839	179	186	miR-206	Gene	387202
25530839	188	193	miR-1	Gene	260145
25530839	218	223	miR-1	Gene	260145
25530839	264	269	miR-1	Gene	260145
25530839	338	345	miR-206	Gene	387202
25530839	447	455	miR-133b	Gene	723817
25530839	540	545	miR-1	Gene	260145
25530839	550	557	miR-206	Gene	387202
25530839	869	876	miR-206	Gene	387202
25530839	434	437	miR	Gene	735281
25530839	274	277	miR	Gene	735281
25530839	198	201	miR	Gene	735281
25530839	1003	1010	miR-206	Gene	387202
25530839	1326	1333	miR-206	Gene	387202
25530839	1357	1361	Pax7	Gene	18509
25530839	1026	1030	mice	Species	10090
25530839	1050	1054	mice	Species	10090
25530839	1431	1438	miR-206	Gene	387202
25530839	1618	1625	miR-206	Gene	387202
25530839	1785	1792	miR-206	Gene	387202
25530839	1895	1902	miR-206	Gene	387202
25530839	1975	1979	Pax7	Gene	18509
25530839	1856	1859	mdx	Gene	13405
25530839	1860	1864	mice	Species	10090
25530839	2049	2056	miR-206	Gene	387202
25530839	2201	2206	miR-1	Gene	260145
25530839	2290	2297	miR-206	Gene	387202
25530839	2635	2640	miR-1	Gene	260145
25530839	2642	2649	miR-206	Gene	387202
25530839	2742	2747	miR-1	Gene	260145
25530839	2831	2836	miR-1	Gene	260145
25530839	2888	2895	miR-206	Gene	387202
25530839	2954	2962	miR-133b	Gene	723817
25530839	3036	3043	miR-206	Gene	387202
25530839	3065	3070	miR-1	Gene	260145
25530839	3085	3090	miR-1	Gene	260145
25530839	3095	3102	miR-206	Gene	387202
25530839	3218	3223	miR-1	Gene	260145
25530839	3496	3501	miR-1	Gene	260145
